Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (P)	Cumulative Profit/Loss (P)	FlatToFlat Profit/Loss (P)	FlatToFlat Max Open Profit (P)	FlatToFlat Max Open Loss (P)	Max Open Profit (P)	Max Open Loss (P)	Entry Efficiency	Exit Efficiency	Total Efficiency	Commission (C)	High Price While Open	Low Price While Open	Note	Open Position Quantity	Close Position Quantity	Duration	Account
[Sim]ESU3.CME	Short	2023-08-17  11:07:57.098 BP	2023-08-17  11:10:27.126	4418.25	4419.25	2	5	2	-2.11	128.50	-2.11	2.00	-2.00	2.00	-2.00	100.0%	-2.7%	-52.7%	5.32	4419.25	4417.25	2Targets5c_3out_2run.twconfig	2	3	00:02:30	Sim1
[Sim]ESU3.CME	Short	2023-08-17  11:07:57.098	2023-08-17  11:10:27.126 EP	4418.25	4419.25	3	5	5	-3.16	125.34	-5.27 F	5.00	-5.00	3.00	-3.00	100.0%	18.4%	-31.6%	7.98	4419.25	4417.25	2Targets5c_3out_2run.twconfig	5	0	00:02:30	Sim1
[Sim]ESU3.CME	Short	2023-08-17  11:10:47.914 BP	2023-08-17  11:15:42.730	4418.50	4418.50	2	5	2	-0.11	125.24	-0.11	3.00	-4.00	3.00	-4.00	100.0%	55.6%	-1.5%	5.32	4420.50	4417.00	2Targets5c_3out_2run.twconfig	2	3	00:04:54	Sim1
[Sim]ESU3.CME	Short	2023-08-17  11:10:47.914	2023-08-17  11:15:42.730 EP	4418.50	4418.50	3	5	5	-0.16	125.08	-0.27 F	7.50	-10.00	4.50	-6.00	100.0%	56.2%	-0.9%	7.98	4420.50	4417.00	2Targets5c_3out_2run.twconfig	5	0	00:04:54	Sim1
[Sim]ESU3.CME	Short	2023-08-17  11:18:22.376 BP	2023-08-17  11:21:36.793	4416.75	4414.50	2	5	2	4.39	129.47	4.39	4.50	-2.50	4.50	-2.50	100.0%	98.5%	62.8%	5.32	4418.00	4414.50	2Targets5c_3out_2run.twconfig	2	3	00:03:14	Sim1
[Sim]ESU3.CME	Short	2023-08-17  11:18:22.376	2023-08-17  11:21:36.793	4416.75	4414.50	1	5	3	2.20	131.67	6.59	6.75	-3.75	2.25	-1.25	100.0%	56.6%	20.9%	2.66	4418.00	4414.50	2Targets5c_3out_2run.twconfig	5	2	00:03:14	Sim1
[Sim]ESU3.CME	Short	2023-08-17  11:18:22.376	2023-08-17  11:22:45.335 EP	4416.75	4418.75	2	5	5	-4.11	127.56	2.48 F	11.25	-7.75	4.50	-4.00	100.0%	19.2%	-21.6%	5.32	4418.75	4414.50	2Targets5c_3out_2run.twconfig	5	0	00:04:22	Sim1
[Sim]ESU3.CME	Short	2023-08-17  11:28:50.970 BP	2023-08-17  11:29:31.266	4415.00	4415.00	2	5	2	-0.11	127.46	-0.11	1.00	-1.50	1.00	-1.50	100.0%	55.8%	-4.3%	5.32	4415.75	4414.50	2Targets5c_3out_2run.twconfig	2	3	00:00:40	Sim1
[Sim]ESU3.CME	Short	2023-08-17  11:28:50.970	2023-08-17  11:29:31.266 EP	4415.00	4415.00	3	5	5	-0.16	127.30	-0.27 F	2.50	-3.75	1.50	-2.25	100.0%	57.5%	-2.6%	7.98	4415.75	4414.50	2Targets5c_3out_2run.twconfig	5	0	00:00:40	Sim1
[Sim]ESU3.CME	Short	2023-08-17  11:30:12.540 BP	2023-08-17  11:35:57.547	4414.50	4412.25	2	5	2	4.39	131.69	4.39	4.50	-2.50	4.50	-2.50	100.0%	98.5%	62.8%	5.32	4415.75	4412.25	2Targets5c_3out_2run.twconfig	2	3	00:05:45	Sim1
